"ID","LAT","LON","DEPTH","YEAR","MONTH","DAY","TEMP","NITRATE","SILICATE","PHOSPHATE","TCHL","ALPHA","PMB","PROVNUM","EK"
1,21.03366667,-31.12866667,10.812,1992,6,23,23.656,0,NA,0,0.047,0.01541,7.26587,7,471.503569110967
1,21.03366667,-31.12866667,37.422,1992,6,23,23.495,0,NA,0,0.072,0.01123,4.60583,7,410.13624220837
1,21.03366667,-31.12866667,59.885,1992,6,23,22.909,0,NA,0,0.081,0.01561,4.24253,7,271.782831518258
1,21.03366667,-31.12866667,80.335,1992,6,23,22.122,0,NA,0,0.139,0.01903,3.16026,7,166.067262217551
1,21.03366667,-31.12866667,99.618,1992,6,23,21.707,0,NA,0,0.185,0.02938,2.52821,7,86.0520762423417
1,21.03366667,-31.12866667,109.6,1992,6,23,21.44,0,NA,0,0.226,0.03711,2.60305,7,70.1441659929938
1,21.03366667,-31.12866667,119.932,1992,6,23,21.25,0.02,NA,0,0.297,0.05807,2.72137,7,46.8636128810057
1,21.03366667,-31.12866667,130.058,1992,6,23,21.055,0.43,NA,0.01,0.275,0.05857,2.17982,7,37.2173467645552
1,21.03366667,-31.12866667,150.237,1992,6,23,20.489,1.91,NA,0.1,0.136,0.10228,1.80563,7,17.6537935080172
1,20.98666667,-31.14016667,2.21,1992,6,23,23.812,0,NA,0,0.043,0.01199,2.52499,7,210.591326105088
1,20.98666667,-31.14016667,20.189,1992,6,23,23.668,0,NA,0,0.045,0.0031,2.96877,7,957.667741935484
1,20.98666667,-31.14016667,60.316,1992,6,23,22.805,0,NA,0.08,0.086,0.00266,3.34268,7,1256.64661654135
1,20.98666667,-31.14016667,90.564,1992,6,23,21.906,0,NA,0.03,0.177,0.01308,0.8397,7,64.197247706422
1,20.98666667,-31.14016667,99.441,1992,6,23,21.653,0,NA,0.01,0.221,0.01865,0.89355,7,47.911528150134
1,20.98666667,-31.14016667,109.819,1992,6,23,21.478,0,NA,0.01,0.366,0.01678,1.00868,7,60.1120381406436
1,20.98666667,-31.14016667,129.216,1992,6,23,21.206,0.28,NA,0.01,0.289,0.05599,1.51895,7,27.1289515984997
1,20.98666667,-31.14016667,149.608,1992,6,23,20.797,1.39,NA,0.07,0.166,0.0757,1.40847,7,18.6059445178336
1,NA,NA,5,1992,6,24,NA,0,NA,0.03,0.045,0.02034,4.9323,9,242.492625368732
1,NA,NA,15,1992,6,24,NA,0,NA,0,0.045,0.01525,4.62721,9,303.423606557377
1,NA,NA,30,1992,6,24,NA,0,NA,0,0.044,0.01311,5.29619,9,403.980930587338
1,NA,NA,50,1992,6,24,NA,0,NA,0.03,0.047,0.00987,2.68973,9,272.515704154002
1,NA,NA,70,1992,6,24,NA,0,NA,0,0.06,0.0122,2.13564,9,175.052459016393
1,NA,NA,90,1992,6,24,NA,0,NA,0.01,0.14,0.01441,1.05591,9,73.2761970853574
1,NA,NA,100,1992,6,24,NA,0,NA,0.01,0.152,0.01814,1.22449,9,67.5022050716648
1,NA,NA,110,1992,6,24,NA,0,NA,0.03,0.161,0.00821,0.50697,9,61.7503045066992
1,NA,NA,120,1992,6,24,NA,0,NA,0.01,0.174,0.02985,1.66814,9,55.8840871021776
1,NA,NA,140,1992,6,24,NA,0.78,NA,0.04,0.209,0.04571,1.79089,9,39.1793918179829
1,20.965,-31.14833333,10.644,1992,6,24,23.673,0,NA,NA,0.048,0.01431,6.6309,7,463.375262054507
1,20.965,-31.14833333,49.336,1992,6,24,23.374,0,NA,0,0.071,0.01452,5.00173,7,344.471763085399
1,20.965,-31.14833333,80.184,1992,6,24,22.308,0,NA,0,0.099,0.01573,6.64208,7,422.255562619199
1,20.965,-31.14833333,100.168,1992,6,24,22.001,0,NA,0.04,0.134,0.03296,3.84399,7,116.625910194175
1,20.965,-31.14833333,111.341,1992,6,24,21.707,0,NA,0.01,0.193,0.02568,2.81856,7,109.757009345794
1,20.965,-31.14833333,120.399,1992,6,24,21.496,0,NA,0.01,0.23,0.04994,2.88656,7,57.8005606728074
1,20.965,-31.14833333,130.072,1992,6,24,21.395,0.02,NA,0.01,0.261,0.05725,2.65133,7,46.3114410480349
1,20.965,-31.14833333,140.591,1992,6,24,21.173,0.28,NA,0.02,0.216,0.03942,1.56613,7,39.7293252156266
1,20.965,-31.14833333,150.663,1992,6,24,20.884,0.88,NA,0.05,0.175,0.00632,2.58609,7,409.191455696203
1,20.965,-31.14833333,170.743,1992,6,24,20.245,2.28,NA,0.13,0.093,0.00957,3.48029,7,363.666666666667
1,20.941,-31.134,2.243,1992,6,24,23.95,0,NA,NA,0.043,0.00533,2.69013,7,504.714821763602
1,20.941,-31.134,10.286,1992,6,24,23.938,0,NA,0,0.044,0.00524,2.26268,7,431.809160305344
1,20.941,-31.134,30.611,1992,6,24,23.548,0,NA,0,0.05,0.0059,1.43202,7,242.715254237288
1,20.941,-31.134,59.807,1992,6,24,22.854,0,NA,0.03,0.087,0.00476,0.83504,7,175.428571428571
1,20.941,-31.134,81.025,1992,6,24,21.973,0,NA,0.01,0.147,0.0078,0.78046,7,100.058974358974
1,20.941,-31.134,100.014,1992,6,24,21.627,0,NA,0.01,0.21,0.02193,1.11867,7,51.0109439124487
1,20.941,-31.134,109.737,1992,6,24,21.482,0,NA,0.01,0.243,0.02309,1.34874,7,58.4122996968385
1,20.941,-31.134,119.848,1992,6,24,21.333,0.02,NA,0,0.277,0.04153,1.54924,7,37.3041175054178
1,20.941,-31.134,130.99,1992,6,24,21.079,0.47,NA,0.03,0.232,0.05395,1.47011,7,27.2494902687674
1,NA,NA,5,1992,6,25,NA,NA,NA,NA,0.049,0.01165,4.82425,9,414.098712446352
1,NA,NA,15,1992,6,25,NA,NA,NA,NA,0.049,0.03263,4.47466,9,137.133312902237
1,NA,NA,30,1992,6,25,NA,NA,NA,NA,0.042,0.00866,3.05829,9,353.151270207852
1,NA,NA,50,1992,6,25,NA,NA,NA,NA,0.05,0.04367,2.96523,9,67.9008472635677
1,NA,NA,70,1992,6,25,NA,NA,NA,NA,0.06,0.01411,4.2522,9,301.360737065911
1,NA,NA,90,1992,6,25,NA,NA,NA,NA,0.119,0.01135,1.6877,9,148.696035242291
1,NA,NA,100,1992,6,25,NA,NA,NA,NA,0.156,0.03032,2.23733,9,73.7905672823219
1,NA,NA,110,1992,6,25,NA,NA,NA,NA,0.178,0.01807,2.02005,9,111.790260099613
1,NA,NA,120,1992,6,25,NA,NA,NA,NA,0.203,0.02551,1.67233,9,65.5558604468836
1,NA,NA,140,1992,6,25,NA,NA,NA,NA,0.269,0.11001,2.78668,9,25.3311517134806
1,20.924,-31.135,10.419,1992,6,25,23.768,0,NA,0,0.049,0.01375,6.89844,7,501.704727272727
1,20.924,-31.135,40.509,1992,6,25,23.637,0,NA,0,0.062,0.011,5.83571,7,530.519090909091
1,20.924,-31.135,60.307,1992,6,25,23.226,0,NA,0,0.067,0.01404,3.64708,7,259.763532763533
1,20.924,-31.135,79.449,1992,6,25,22.442,0,NA,0,0.095,0.01473,2.81276,7,190.954514596062
1,20.924,-31.135,100.765,1992,6,25,21.946,0,NA,0,0.155,0.02153,2.10121,7,97.5945192754296
1,20.924,-31.135,109.018,1992,6,25,21.819,0,NA,0,0.18,0.02616,1.99063,7,76.0944189602447
1,20.924,-31.135,120.707,1992,6,25,21.672,0,NA,0,0.204,0.02759,1.94828,7,70.6154403769482
1,20.924,-31.135,129.83,1992,6,25,21.427,0,NA,0,0.236,0.03854,2.10725,7,54.6769590036326
1,20.924,-31.135,139.21,1992,6,25,21.215,0.24,NA,0,0.28,0.06277,2.10058,7,33.4647124422495
1,20.92716667,-31.13966667,40.396,1992,6,25,23.665,0,NA,0,0.052,0.00353,1.15694,7,327.745042492918
1,20.92716667,-31.13966667,60.385,1992,6,25,23.107,0,NA,0,0.064,0.0075,1.44951,7,193.268
1,20.92716667,-31.13966667,81.026,1992,6,25,22.411,0,NA,0,0.091,0.00845,1.42567,7,168.718343195266
1,20.92716667,-31.13966667,99.656,1992,6,25,21.98,0,NA,0,0.145,0.05794,1.84422,7,31.8298239558164
1,20.92716667,-31.13966667,110.064,1992,6,25,21.776,0,NA,0,0.188,0.01831,0.92137,7,50.3205898416166
1,20.92716667,-31.13966667,120.954,1992,6,25,21.495,0,NA,0,0.208,0.00205,1.14082,7,556.49756097561
1,20.92716667,-31.13966667,129.447,1992,6,25,21.29,0.02,NA,0,0.273,0.07167,2.2556,7,31.4720245569973
1,20.92716667,-31.13966667,141.025,1992,6,25,21.029,0.49,NA,0.02,0.254,0.0907,2.14965,7,23.7006615214994
1,20.92716667,-31.13966667,159.018,1992,6,25,20.431,1.93,NA,0.08,0.135,0.0683,1.4782,7,21.6427525622255
1,20.85333333,-31.1525,60.427,1992,6,26,23.365,0,NA,0,0.071,0.01581,5.74392,7,363.309297912713
1,20.85333333,-31.1525,99.644,1992,6,26,22.063,0,NA,0,0.137,0.02492,2.8526,7,114.470304975923
1,20.85333333,-31.1525,119.376,1992,6,26,21.693,0,NA,0,0.207,0.02734,2.10028,7,76.8207754206291
1,20.85333333,-31.1525,129.506,1992,6,26,21.519,0,NA,0,0.252,0.02496,1.92947,7,77.302483974359
1,20.85333333,-31.1525,139.63,1992,6,26,21.279,0,NA,0,0.231,0.03973,2.11119,7,53.1384344324188
